Index,STO,STODateTime,Airline,FlightNum,Departure,Arrival,Data,FirstPax,BizPax,EconPax
"90","11:48","2020-11-11T11:48:00","HG","401","NLN","UKK","Green","1","15","113"
"91","11:49","2020-11-11T11:49:00","UP","138","EOX","BWR","Indigo","7","5","154"
"92","11:50","2020-11-11T11:50:00","VW","144","GDH","PCI","Blue","2","23","101"
"93","11:51","2020-11-11T11:51:00","TW","241","XAF","AUR","Yellow","1","6","48"
"94","11:52","2020-11-11T11:52:00","JC","698","PKK","HQS","Indigo","2","3","88"
"95","11:53","2020-11-11T11:53:00","WB","495","MUT","FAD","Orange","5","19","158"
"96","11:54","2020-11-11T11:54:00","TF","134","EMV","AWX","Yellow","2","18","77"
"97","11:55","2020-11-11T11:55:00","XQ","816","BXV","TOJ","Indigo","2","4","106"
"98","11:56","2020-11-11T11:56:00","MA","289","GXB","UOQ","Red","4","13","87"
"99","11:57","2020-11-11T11:57:00","ND","566","YOD","TKW","Green","0","1","53"
"100","11:58","2020-11-11T11:58:00","VB","323","KFT","ZYI","Red","5","17","108"
"101","11:59","2020-11-11T11:59:00","HX","781","GNH","NLI","Green","7","10","81"
"102","12:00","2020-11-11T12:00:00","DL","228","QLC","EQF","Blue","2","5","172"
"103","12:01","2020-11-11T12:01:00","VP","530","EDY","GZW","Indigo","4","14","8"
"104","12:02","2020-11-11T12:02:00","VO","769","NKI","ZUQ","Green","6","17","109"
"105","12:03","2020-11-11T12:03:00","NN","859","BDO","AQM","Indigo","7","3","95"
"106","12:04","2020-11-11T12:04:00","AE","448","HPP","BKH","Green","6","17","65"
"107","12:05","2020-11-11T12:05:00","ZG","207","FBU","MOK","Blue","0","19","132"
"108","12:06","2020-11-11T12:06:00","ZO","437","JQY","JXH","Blue","2","8","181"
"109","12:07","2020-11-11T12:07:00","DR","251","GXE","JVP","Blue","3","6","168"
"110","12:08","2020-11-11T12:08:00","DR","871","QLK","NWQ","Yellow","7","23","189"
"111","12:09","2020-11-11T12:09:00","WJ","437","RMU","VCQ","Blue","2","3","157"
"112","12:10","2020-11-11T12:10:00","WK","812","JUY","CSU","Green","7","16","68"
"113","12:11","2020-11-11T12:11:00","YW","158","NEF","IXH","Red","3","23","54"
"114","12:12","2020-11-11T12:12:00","SL","735","NWP","MPN","Red","7","6","129"
"115","12:13","2020-11-11T12:13:00","AV","315","BRM","BCW","Indigo","0","2","122"
"116","12:14","2020-11-11T12:14:00","DV","833","PKN","LNG","Green","7","6","150"
"117","12:15","2020-11-11T12:15:00","IE","696","LTC","GME","Yellow","5","5","59"
"118","12:16","2020-11-11T12:16:00","XW","238","VLU","KGM","Green","5","23","126"
"119","12:17","2020-11-11T12:17:00","MV","229","UEI","UXD","Indigo","2","10","44"
"120","12:18","2020-11-11T12:18:00","YW","224","YJH","ICP","Green","2","9","43"
"121","12:19","2020-11-11T12:19:00","EW","546","WOB","MCP","Yellow","2","9","55"
"122","12:20","2020-11-11T12:20:00","HL","430","UAU","KFV","Green","0","13","48"
"123","12:21","2020-11-11T12:21:00","KP","550","XHV","KYE","Indigo","2","6","57"
"124","12:22","2020-11-11T12:22:00","IY","206","IMV","OBZ","Indigo","5","19","102"
"125","12:23","2020-11-11T12:23:00","OZ","124","IIM","HHQ","Indigo","4","17","25"
"126","12:24","2020-11-11T12:24:00","NZ","370","DNB","NSM","Yellow","0","12","15"
"127","12:25","2020-11-11T12:25:00","GA","244","LRW","DSH","Yellow","7","21","113"
"128","12:26","2020-11-11T12:26:00","WZ","898","RAP","QII","Green","5","20","73"
"129","12:27","2020-11-11T12:27:00","QG","756","BMZ","VGG","Orange","0","4","41"
"130","12:28","2020-11-11T12:28:00","RP","423","GOK","HXF","Green","5","19","89"
"131","12:29","2020-11-11T12:29:00","MV","702","YLL","QHG","Indigo","7","5","179"
"132","12:30","2020-11-11T12:30:00","YA","382","QRW","NUY","Red","7","2","189"
"133","12:31","2020-11-11T12:31:00","IO","472","KSC","GAM","Indigo","3","7","159"
"134","12:32","2020-11-11T12:32:00","RO","833","KSM","APL","Orange","4","14","164"
"135","12:33","2020-11-11T12:33:00","VH","629","NUV","VLD","Red","6","21","27"
"136","12:34","2020-11-11T12:34:00","VZ","847","LAW","IWF","Indigo","7","13","65"
"137","12:35","2020-11-11T12:35:00","LC","409","WHX","VVG","Indigo","2","24","40"
"138","12:36","2020-11-11T12:36:00","RM","409","OMC","OPR","Red","5","24","45"
"139","12:37","2020-11-11T12:37:00","SH","115","QIU","ALK","Blue","0","6","147"
"140","12:38","2020-11-11T12:38:00","YA","339","OAP","MVF","Indigo","3","16","88"
"141","12:39","2020-11-11T12:39:00","UY","712","TBS","WBF","Green","6","15","123"
"142","12:40","2020-11-11T12:40:00","PY","728","GSI","HSD","Green","2","3","4"
"143","12:41","2020-11-11T12:41:00","CM","439","NLO","ZWZ","Red","5","16","133"
"144","12:42","2020-11-11T12:42:00","JK","682","TMM","YJA","Green","0","23","21"
"145","12:43","2020-11-11T12:43:00","DJ","696","RLM","QAQ","Yellow","4","17","18"
"146","12:44","2020-11-11T12:44:00","GP","734","PXD","PAZ","Indigo","7","10","7"
"147","12:45","2020-11-11T12:45:00","UE","636","CYK","OIK","Green","0","7","117"
"148","12:46","2020-11-11T12:46:00","EA","639","TAC","BKF","Yellow","4","9","124"
"149","12:47","2020-11-11T12:47:00","XI","173","ELT","GKR","Yellow","2","13","79"
"150","12:48","2020-11-11T12:48:00","FD","717","VZR","HHY","Green","2","5","164"
"151","12:49","2020-11-11T12:49:00","XJ","616","PVC","SHM","Orange","1","6","33"
"152","12:50","2020-11-11T12:50:00","JB","284","NPI","FPW","Indigo","4","9","68"
"153","12:51","2020-11-11T12:51:00","WC","402","YTT","YPW","Indigo","5","1","116"
"154","12:52","2020-11-11T12:52:00","GV","202","TXN","PUI","Orange","0","11","187"
"155","12:53","2020-11-11T12:53:00","AA","304","ALA","GMF","Green","7","13","88"
"156","12:54","2020-11-11T12:54:00","MH","566","MEM","KZB","Yellow","3","3","3"
"157","12:55","2020-11-11T12:55:00","CU","552","OVI","NUS","Indigo","2","21","82"
"158","12:56","2020-11-11T12:56:00","SV","210","AFF","FLB","Orange","1","20","13"
"159","12:57","2020-11-11T12:57:00","OA","110","YQU","WLY","Yellow","7","16","144"
"160","12:58","2020-11-11T12:58:00","PA","648","UJG","QTT","Green","6","1","27"
"161","12:59","2020-11-11T12:59:00","GY","563","AMJ","SUU","Yellow","6","18","54"
"162","13:00","2020-11-11T13:00:00","OZ","103","UJF","JMQ","Orange","6","6","174"
"163","13:01","2020-11-11T13:01:00","ZF","362","ULE","XMN","Indigo","6","22","186"
"164","13:02","2020-11-11T13:02:00","OY","891","VNX","ACR","Green","5","24","36"
"165","13:03","2020-11-11T13:03:00","PS","643","QSV","TOJ","Green","3","24","8"
"166","13:04","2020-11-11T13:04:00","PW","733","BBD","WKR","Yellow","3","20","129"
"167","13:05","2020-11-11T13:05:00","VG","766","HPP","VGO","Orange","6","21","39"
"168","13:06","2020-11-11T13:06:00","AD","436","ELO","VMI","Orange","2","15","110"
"169","13:07","2020-11-11T13:07:00","PC","731","YIF","VBA","Green","5","2","175"
"170","13:08","2020-11-11T13:08:00","WE","729","AQZ","FWD","Blue","7","12","178"
"171","13:09","2020-11-11T13:09:00","YZ","264","MCO","RAA","Blue","3","15","168"
"172","13:10","2020-11-11T13:10:00","PB","225","AQS","CNR","Blue","5","8","99"
"173","13:11","2020-11-11T13:11:00","IL","686","LJU","LJG","Indigo","6","12","81"
"174","13:12","2020-11-11T13:12:00","EK","839","WLI","JTJ","Red","5","2","19"
"175","13:13","2020-11-11T13:13:00","HK","428","GHN","EOF","Orange","2","13","61"
"176","13:14","2020-11-11T13:14:00","RE","508","JFI","NFN","Blue","4","20","41"
"177","13:15","2020-11-11T13:15:00","JY","707","YHB","JHN","Red","7","0","102"
"178","13:16","2020-11-11T13:16:00","II","796","ZER","HDR","Orange","2","0","177"
"179","13:17","2020-11-11T13:17:00","JP","821","UTU","KCD","Orange","6","6","183"
"180","13:18","2020-11-11T13:18:00","FF","133","DEO","IRZ","Orange","2","13","94"
"181","13:19","2020-11-11T13:19:00","YN","166","STN","YJR","Blue","3","18","56"
"182","13:20","2020-11-11T13:20:00","EP","466","ECB","SFL","Red","0","12","6"
"183","13:21","2020-11-11T13:21:00","SR","308","KKO","GGW","Indigo","7","10","91"
"184","13:22","2020-11-11T13:22:00","HI","592","OLR","KWK","Blue","1","20","12"
"185","13:23","2020-11-11T13:23:00","GV","334","NLZ","FSU","Orange","0","6","63"
"186","13:24","2020-11-11T13:24:00","UM","142","HTL","TQU","Yellow","4","21","123"
"187","13:25","2020-11-11T13:25:00","LC","243","IZB","PJI","Yellow","7","8","83"
"188","13:26","2020-11-11T13:26:00","AG","713","MBN","HDW","Indigo","6","2","185"
"189","13:27","2020-11-11T13:27:00","TB","452","MKS","QUO","Red","4","12","54"
"190","13:28","2020-11-11T13:28:00","BR","884","MBC","YHL","Yellow","6","7","66"
"191","13:29","2020-11-11T13:29:00","BP","528","OEJ","GZH","Green","7","20","1"
"192","13:30","2020-11-11T13:30:00","GS","623","LEG","ATM","Green","1","9","166"
"193","13:31","2020-11-11T13:31:00","SD","639","HOP","EBQ","Red","1","24","173"
"194","13:32","2020-11-11T13:32:00","EG","330","TDB","QBW","Orange","5","24","64"
"195","13:33","2020-11-11T13:33:00","QH","571","PZK","FHR","Red","2","24","182"
"196","13:34","2020-11-11T13:34:00","IQ","847","PQK","MGB","Blue","3","18","87"
"197","13:35","2020-11-11T13:35:00","BS","765","VWA","HFY","Indigo","3","1","16"
"198","13:36","2020-11-11T13:36:00","WU","589","MDZ","TET","Indigo","0","6","116"
"199","13:37","2020-11-11T13:37:00","GN","175","OND","VNI","Yellow","3","20","43"
"200","13:38","2020-11-11T13:38:00","HR","684","JTL","OOO","Blue","5","14","116"
"201","13:39","2020-11-11T13:39:00","NZ","315","ISS","PGU","Blue","1","9","71"
"202","13:40","2020-11-11T13:40:00","JF","559","NHD","RXR","Red","3","8","47"
"203","13:41","2020-11-11T13:41:00","RS","143","RWM","ZXP","Indigo","1","0","144"
"204","13:42","2020-11-11T13:42:00","TG","871","NXP","ZJC","Orange","7","1","71"
"205","13:43","2020-11-11T13:43:00","MY","656","WXV","ZMB","Indigo","1","2","174"
"206","13:44","2020-11-11T13:44:00","RL","465","TII","NOK","Yellow","7","3","30"
"207","13:45","2020-11-11T13:45:00","WJ","797","OJB","QMZ","Red","1","18","185"
"208","13:46","2020-11-11T13:46:00","LA","327","RIT","KZY","Green","7","8","187"
"209","13:47","2020-11-11T13:47:00","QN","766","CNT","STY","Green","4","12","98"
"210","13:48","2020-11-11T13:48:00","DL","458","SJG","AJX","Yellow","2","17","15"
"211","13:49","2020-11-11T13:49:00","FT","232","YVY","GKK","Red","5","22","102"
"212","13:50","2020-11-11T13:50:00","MB","289","MLR","FVP","Indigo","4","5","33"
"213","13:51","2020-11-11T13:51:00","RI","595","TBO","JLO","Indigo","4","0","148"
"214","13:52","2020-11-11T13:52:00","QG","203","SJV","VVT","Indigo","1","10","8"
"215","13:53","2020-11-11T13:53:00","PN","301","PUQ","SQG","Indigo","6","16","11"
"216","13:54","2020-11-11T13:54:00","BN","191","YCR","MQA","Indigo","5","22","113"
"217","13:55","2020-11-11T13:55:00","TK","365","YJM","IAZ","Indigo","1","24","29"
"218","13:56","2020-11-11T13:56:00","YH","214","JHJ","BHT","Orange","5","20","159"
"219","13:57","2020-11-11T13:57:00","MY","417","OOO","RFW","Orange","2","8","109"
"220","13:58","2020-11-11T13:58:00","HI","144","BRY","ZYS","Orange","4","16","127"
"221","13:59","2020-11-11T13:59:00","IV","346","ZDP","CNA","Yellow","4","11","57"
"222","14:00","2020-11-11T14:00:00","QH","865","BZV","ASC","Blue","1","16","120"
"223","14:01","2020-11-11T14:01:00","UW","812","TTX","XWF","Indigo","7","22","35"
"224","14:02","2020-11-11T14:02:00","SG","141","GYL","QJI","Blue","7","16","35"
"225","14:03","2020-11-11T14:03:00","RP","864","GDB","IMV","Orange","5","6","121"
"226","14:04","2020-11-11T14:04:00","SO","436","KLB","EVD","Blue","5","20","148"
"227","14:05","2020-11-11T14:05:00","UB","321","MEX","DOF","Orange","7","23","137"
"228","14:06","2020-11-11T14:06:00","VO","663","XAK","ZHS","Red","7","22","48"
"229","14:07","2020-11-11T14:07:00","YL","402","OVH","LIH","Orange","1","8","11"
"230","14:08","2020-11-11T14:08:00","TD","154","NHM","LSG","Green","0","5","146"
"231","14:09","2020-11-11T14:09:00","GV","487","BZI","OXZ","Green","1","16","86"
"232","14:10","2020-11-11T14:10:00","QN","407","NHN","OYR","Indigo","1","5","152"
"233","14:11","2020-11-11T14:11:00","LL","539","RVH","IBB","Green","6","5","60"
"234","14:12","2020-11-11T14:12:00","WU","217","TMW","VVW","Indigo","2","18","67"
"235","14:13","2020-11-11T14:13:00","PR","755","OZG","VEX","Red","2","7","157"
"236","14:14","2020-11-11T14:14:00","XJ","420","PXN","HYQ","Blue","6","22","68"
"237","14:15","2020-11-11T14:15:00","JK","892","PNF","YMR","Green","1","12","122"
"238","14:16","2020-11-11T14:16:00","PK","222","ZRU","MRY","Yellow","3","6","6"
"239","14:17","2020-11-11T14:17:00","UK","417","ZXA","QPX","Yellow","1","7","108"
"240","14:18","2020-11-11T14:18:00","DI","384","GSE","CGY","Indigo","6","16","15"
"241","14:19","2020-11-11T14:19:00","AL","663","KYO","HML","Green","0","17","137"
"242","14:20","2020-11-11T14:20:00","FV","125","SYZ","RCQ","Red","2","17","140"
"243","14:21","2020-11-11T14:21:00","GE","719","WNP","HVZ","Orange","7","12","96"
"244","14:22","2020-11-11T14:22:00","PA","161","SVH","OAY","Orange","1","5","178"
"245","14:23","2020-11-11T14:23:00","VA","875","JIK","REI","Red","5","14","1"
"246","14:24","2020-11-11T14:24:00","MK","819","GQD","FLJ","Green","0","23","60"
"247","14:25","2020-11-11T14:25:00","AE","690","HXO","QPT","Orange","6","15","168"
"248","14:26","2020-11-11T14:26:00","NV","355","GXJ","DUU","Red","0","17","117"
"249","14:27","2020-11-11T14:27:00","CA","490","LJY","LZJ","Green","3","0","38"
"250","14:28","2020-11-11T14:28:00","EY","445","SCB","QTQ","Yellow","1","2","143"
"251","14:29","2020-11-11T14:29:00","RU","515","GAQ","PHL","Green","0","8","177"
"252","14:30","2020-11-11T14:30:00","YE","812","DIW","GRE","Orange","2","1","6"
"253","14:31","2020-11-11T14:31:00","BC","788","MRJ","IPG","Green","3","3","90"
"254","14:32","2020-11-11T14:32:00","VL","822","SII","KED","Yellow","6","12","10"
"255","14:33","2020-11-11T14:33:00","GW","157","MPD","EAO","Green","3","24","179"
"256","14:34","2020-11-11T14:34:00","TZ","360","RNK","ZVB","Blue","6","11","166"
"257","14:35","2020-11-11T14:35:00","AR","787","YQZ","ZPC","Yellow","4","18","8"
"258","14:36","2020-11-11T14:36:00","IZ","480","GYL","TJP","Yellow","6","11","180"
"259","14:37","2020-11-11T14:37:00","LN","273","FBH","BSD","Yellow","1","15","169"
"260","14:38","2020-11-11T14:38:00","LZ","376","QNU","YMC","Red","2","20","165"
"261","14:39","2020-11-11T14:39:00","IS","496","KGA","NRO","Yellow","3","22","73"
"262","14:40","2020-11-11T14:40:00","GS","357","FMI","PBA","Blue","0","23","165"
"263","14:41","2020-11-11T14:41:00","BN","479","JNW","KFZ","Yellow","1","17","42"
"264","14:42","2020-11-11T14:42:00","DD","277","XNY","TDO","Orange","1","22","99"
"265","14:43","2020-11-11T14:43:00","AF","763","IXM","MKY","Indigo","1","4","181"
"266","14:44","2020-11-11T14:44:00","NM","252","HJC","MGF","Yellow","6","2","48"
"267","14:45","2020-11-11T14:45:00","BF","681","NHI","MZV","Orange","2","16","81"
"268","14:46","2020-11-11T14:46:00","TG","763","EDA","TOL","Orange","7","6","164"
"269","14:47","2020-11-11T14:47:00","BK","313","VSA","FRK","Orange","5","11","132"
"270","14:48","2020-11-11T14:48:00","WS","873","SIV","PYI","Orange","3","0","65"
"271","14:49","2020-11-11T14:49:00","UJ","650","QYU","GLG","Red","5","24","86"
"272","14:50","2020-11-11T14:50:00","JL","708","JZE","SLE","Red","4","17","179"
"273","14:51","2020-11-11T14:51:00","DR","846","SDV","UJF","Blue","7","18","63"
"274","14:52","2020-11-11T14:52:00","XF","316","PPG","SWM","Red","1","23","54"
"275","14:53","2020-11-11T14:53:00","GH","826","QIC","YZQ","Green","3","13","180"
"276","14:54","2020-11-11T14:54:00","WF","159","DQU","QQG","Green","1","13","78"
"277","14:55","2020-11-11T14:55:00","JZ","161","RNT","UWO","Yellow","3","14","92"
"278","14:56","2020-11-11T14:56:00","XV","377","GQU","BRJ","Green","6","8","100"
"279","14:57","2020-11-11T14:57:00","KI","618","AUT","CYT","Indigo","7","24","13"
"280","14:58","2020-11-11T14:58:00","TT","183","ISP","ODX","Blue","2","0","166"
"281","14:59","2020-11-11T14:59:00","KM","702","ZMH","IZJ","Yellow","1","14","133"
"282","15:00","2020-11-11T15:00:00","TM","549","EWL","HOB","Orange","4","1","154"
"283","15:01","2020-11-11T15:01:00","ET","415","MMJ","ZXJ","Green","1","18","88"
"284","15:02","2020-11-11T15:02:00","QQ","179","JHX","TAW","Red","4","18","181"
"285","15:03","2020-11-11T15:03:00","WS","350","JEF","YRC","Green","4","21","182"
"286","15:04","2020-11-11T15:04:00","VO","730","KXK","KKU","Green","3","17","2"
"287","15:05","2020-11-11T15:05:00","RI","741","ISV","TON","Orange","4","24","84"
"288","15:06","2020-11-11T15:06:00","ZU","744","NBN","MIB","Orange","1","12","32"
"289","15:07","2020-11-11T15:07:00","EI","543","BBW","RDO","Green","6","19","167"
"290","15:08","2020-11-11T15:08:00","TD","438","IHE","KLK","Green","4","6","115"
"291","15:09","2020-11-11T15:09:00","YF","638","PDP","VNQ","Yellow","7","11","38"
"292","15:10","2020-11-11T15:10:00","TI","332","LEY","TET","Yellow","7","18","165"
"293","15:11","2020-11-11T15:11:00","AC","676","USY","UMX","Yellow","3","23","90"
"294","15:12","2020-11-11T15:12:00","HY","377","DRL","WCL","Red","1","24","81"
"295","15:13","2020-11-11T15:13:00","QN","452","EVT","WHO","Blue","6","21","138"
"296","15:14","2020-11-11T15:14:00","AR","692","WWV","MSR","Blue","6","15","130"
"297","15:15","2020-11-11T15:15:00","MW","720","PAO","VHI","Orange","0","18","120"
"298","15:16","2020-11-11T15:16:00","SC","259","SFN","HYK","Orange","2","14","38"
"299","15:17","2020-11-11T15:17:00","JM","680","ZRQ","NDH","Red","4","23","133"
"300","15:18","2020-11-11T15:18:00","GB","456","SKS","DFC","Yellow","4","23","119"
"301","15:19","2020-11-11T15:19:00","HJ","687","BQK","AVF","Orange","4","8","111"
"302","15:20","2020-11-11T15:20:00","KE","487","LBS","TMH","Orange","4","17","147"
"303","15:21","2020-11-11T15:21:00","QM","885","GBF","BBI","Orange","3","5","69"
"304","15:22","2020-11-11T15:22:00","CY","799","ASX","KVI","Indigo","5","16","64"
"305","15:23","2020-11-11T15:23:00","VE","209","ZDF","JWU","Green","6","23","47"
"306","15:24","2020-11-11T15:24:00","IH","532","BAB","GSQ","Blue","4","6","98"
"307","15:25","2020-11-11T15:25:00","QH","860","IOG","PTK","Indigo","7","8","8"
"308","15:26","2020-11-11T15:26:00","EV","491","HLA","BLO","Red","2","6","172"
"309","15:27","2020-11-11T15:27:00","RK","613","EJN","TPP","Red","7","11","185"
"310","15:28","2020-11-11T15:28:00","PJ","514","YKQ","SZW","Yellow","1","8","71"
"311","15:29","2020-11-11T15:29:00","PE","147","BER","BQO","Orange","0","5","96"
"312","15:30","2020-11-11T15:30:00","KP","445","OTO","VLL","Blue","7","15","133"
